id,xmin,ymin,xmax,ymax
10115,13.3655,52.5233,13.4012,52.5401
10117,13.3707,52.5073,13.4058,52.5291
10119,13.3961,52.5244,13.4126,52.5364
10178,13.3940,52.5113,13.4295,52.5293
10179,13.4028,52.5045,13.4297,52.5224
10243,13.4231,52.5017,13.4537,52.5237
10245,13.4455,52.4871,13.4904,52.5147
10247,13.4525,52.5063,13.4767,52.5259
10249,13.4201,52.5179,13.4590,52.5294
10315,13.4953,52.5006,13.5387,52.5147
10317,13.4683,52.4831,13.5098,52.5143
10318,13.5021,52.4687,13.5528,52.4993
10319,13.4936,52.4916,13.5434,52.5099
10365,13.4722,52.5037,13.5202,52.5355
10367,13.4704,52.5131,13.4859,52.5339
10369,13.4559,52.5220,13.4801,52.5409
10405,13.4092,52.5258,13.4380,52.5447
10407,13.4241,52.5262,13.4665,52.5418
10409,13.4269,52.5365,13.4558,52.5514
10435,13.4000,52.5328,13.4239,52.5415
10437,13.3987,52.5397,13.4269,52.5510
10439,13.3967,52.5447,13.4298,52.5591
10551,13.3280,52.5262,13.3431,52.5359
10553,13.3120,52.5206,13.3286,52.5376
10555,13.3273,52.5137,13.3431,52.5275
10557,13.3359,52.5137,13.3771,52.5376
10559,13.3424,52.5235,13.3601,52.5379
10585,13.2958,52.5110,13.3207,52.5199
10587,13.2993,52.5120,13.3359,52.5249
10589,13.2925,52.5202,13.3168,52.5356
10623,13.3193,52.5016,13.3359,52.5137
10625,13.3077,52.5048,13.3224,52.5125
10627,13.2946,52.5041,13.3090,52.5118
10629,13.2952,52.4992,13.3196,52.5054
10707,13.3065,52.4906,13.3200,52.5016
10709,13.2947,52.4880,13.3138,52.5001
10711,13.2815,52.4919,13.3020,52.5026
10713,13.2999,52.4777,13.3205,52.4925
10715,13.3203,52.4777,13.3371,52.4885
10717,13.3190,52.4868,13.3369,52.4963
10719,13.3183,52.4925,13.3310,52.5038
10777,13.3304,52.4956,13.3549,52.5011
