street,plz
Werderstraße,13587
Süderbrokweg,10407
Selgenauer Weg,12355
Gollanczstraße,13465
Zeltinger Platz,13465
Chamissostraße,13587
Bamihlstraße,13587
Rauchstraße,13587
Goltzstraße,13587
Streitstraße,13587
Kulbeweg,13587
Mertensstraße,13587
Niederneuendorfer Allee,13587
Wansdorfer Platz,13587
Amorbacher Weg,13587
Wegscheider Straße,13587
Wansdorfer Steig,13587
Reußstraße,13587
Michelstadter Weg,13587
Schwendyweg,13587
Cautiusstraße,13587
Mögeldorfer Weg,13587
Kornburger Weg,13587
Schnepfenreuther Weg,13587
Breubergweg,13587
Walldürner Weg,13587
Hakenfelder Straße,13587
Eschenweg,13587
Holunderweg,13587
Stadtbahnbogen,10557
Stadtbahnbogen,10555
Falkenseer Chaussee,13583
Germersheimer Weg,13583
Merziger Straße,13583
Zeppelinstraße,13583
Einsiedelring,13127
Unter den Birken,12555
Am Kladower Wäldchen,14089
Krampenburger Weg,12559
Spreekanal,10117
Max-Herrmann-Straße,12687
Erich-Kurz-Straße,10319
Charlotte-Salomon-Hain,10317
Rennbahnstraße,13086
Hauptstraße,13158
Johann-Jacob-Engel-Straße,13057
Am Gehrensee,13057
Kundtanger,13057
Am Dörferweg,13057
Spreekanal,10178
Glockenturmstraße,14053
Wutzkyallee,12353
Cecilienplatz,12619
An der Kappe,13583
Schwarzburger Straße,12687
Stadtbahnbogen,10178
Dolgenseestraße,10319
Mellenseestraße,10319
Bohnsacker Steig,13503
Fürstenauer Weg,13503
Zugdamer Steig,13503
Neufährer Steig,13503
Mottlaupfad,13503
Schönhauser Straße,13158
Weißenhöher Straße,12683
Grabensprung,12683
Teltowkanal,14109
Stachelbartweg,12683
Wettersternweg,12683
Haltoner Straße,12683
Lützowstraße,12307
Angersteinweg,12555
Eremitenstraße,13089
Hadubrandstraße,12683
Michel-Klinitz-Weg,12349
Pohligstraße,12107
Hirseländerweg,12559
Holzkircher Straße,13086
Zum Kiesgrund,12559
Juliushof,12051
Grünauer Straße,12557
Rohrlake,10318
Forstamt Köpenick Revierförsterei Wuhlheide,12439
Forstamt Köpenick Revierförsterei Grünau,12527
Forstamt Köpenick Revierförsterei Schmöckwitz,12527
Forstamt Köpenick Revierförsterei Rahnsdorf,12589
Forstamt Köpenick Revierförsterei Müggelheim,12559
Forstamt Köpenick Revierförsterei Teufelssee,12557
Forstamt Pankow Revierförsterei Buch,13125
Am Pankepark,10115
Fokkerstraße,12487
Arthur-Müller-Straße,12487
Straße 45,13125
Neuköllner Schifffahrtskanal,12057
Teltowkanal,14167
Teltowkanal,12357
Dämeritzsee,12589
Berlin-Spandauer Schifffahrtskanal,10117
Hohenzollernkanal,13629
Hohenzollernkanal,13353
Bahnhofstraße,13127
Wilhelm-Kabus-Straße,10829
Lichtweg,13507
Greifenweg,12623
Am Juliusturm,13599
Krantorweg,13503
Jollenseglerstraße,10245
Alt-Stralau,10245
Bitburger Straße,13051
Cottbusser Platz,12627
Wendenschloßstraße,12559
Nisbléstraße,13127
Hugo-Distler-Straße,12619
Kraetkestraße,12619
Wernerstraße,12619
Ohserring,12619
Finkelsteinstraße,12619
Heinrich-Grüber-Straße,12619
Miethepfad,12307
Fuchsbergeweg,12683
Hegemeisterweg,10318
Liepnitzstraße,10318
Zum Alten Windmühlenberg,12524
Parallelstraße,14129
Seesener Straße,10711
Alt-Biesdorf,12683
Sommerfieldring,14109
Arnouxstraße,13127
Helene-Weber-Straße,12355
Rudolf-Schwarz-Straße,10407
Tiburtiusstraße,12524
Friedrichsruher Platz,12169
Am Krusenick,12555
Theodor-Brugsch-Straße,13125
Wertheimweg,14089
Schönhauser Straße,13127
Friedrich-Junge-Straße,10245
Feldtmannstraße,13051
Darßer Bogen,13088
Tempelhofer Weg,10829
Berlewitzweg,12557
La Famille-Straße,13127
Vienweg,13127
Boizenburger Straße,12619
Heringsdorfer Straße,12619
Bansiner Straße,12619
Clara-Zetkin-Weg,12619
Böttnerstraße,13125
Mahonienweg,12437
Reformationsplatz,13597
Miersdorfer Straße,12527
Hauptstraße,10317
Goldaper Straße,12249
Jules-Verne-Straße,14089
Sonnenkieker,12619
Straße zum Müggelhort,12559
Straße 67,13125
Großmannstraße,12623
Nikolaus-Bares-Weg,12279
Heidelbeerweg,12526
Zur Großen Krampe,12559
Am Brodersengarten,12683
Spree,12555
Niederwallstraße,10117
Le Bonheur-Straße,13127
Finkeldeweg,12557
Saalower Straße,12307
Darsiner Weg,13503
Dorfstraße,12621
Am Gutshof,13059
Torgauer Straße,12627
Erich-Kästner-Straße,12619
Peter-Huchel-Straße,12619
Parchimer Straße,12619
Ernst-Bloch-Straße,12619
Lily-Braun-Straße,12619
Havemannstraße,12689
Flämingstraße,12689
Trusetaler Straße,12687
Liebensteiner Straße,12687
Rabensteiner Straße,12689
Grumsiner Straße,12679
Heidekampweg,12437
Hänselstraße,12437
Kurze Straße,13158
Spreekanal,10179
AEG-Siedlung Heimat,13469
Grabowstraße,12435
Sterndamm,12487
Bahrendorfer Straße,12555
Hohenkircher Allee,12555
Tharauer Allee,14055
Triftstraße,13127
Martha-Fontane-Straße,13127
Zeuschelstraße,13127
Rupertweg,13127
Kellenzeile,13437
Fetschowzeile,13437
Stillerzeile,12587
Spree,10179
Martin-Riesenburger-Straße,12627
Schönewalder Straße,12627
Spree,10178
Lichtenhainer Straße,12627
Anton-Saefkow-Platz,10369
Albert-Kuntz-Straße,12627
Adele-Sandrock-Straße,12627
Kastanienallee,12627
Zerbster Straße,12627
Zechliner Straße,13055
Neustrelitzer Straße,13055
Mark-Twain-Straße,12627
Riesaer Straße,12627
Breite Straße,13187
Spree,10117
Straße 155,13053
Ernst-Barlach-Straße,13059
Schweriner Ring,13059
Hansastraße,13051
Böhlener Straße,12627
Quedlinburger Straße,12627
Oschatzer Ring,12627
Wurzener Straße,12627
Naumburger Ring,12627
Weißenfelser Straße,12627
Heidenauer Straße,12627
Spree,10243
Köpenicker Straße,12683
Uckermarkstraße,12621
Carola-Neher-Straße,12619
Peter-Edel-Straße,12619
Neue Grottkauer Straße,12619
Ellistraße,13051
Sigrunstraße,13051
Astridstraße,13051
Florentinestraße,13051
Ricardastraße,13051
Helminestraße,13051
Kummerower Ring,12619
Ehm-Welk-Straße,12619
An der Margaretenhöhe,13051
Straße 89,13156
Luzinstraße,12619
Etkar-André-Straße,12619
Auerbacher Ring,12619
Oelsnitzer Straße,12627
Glauchauer Straße,12627
Klingenthaler Straße,12627
Feldberger Ring,12619
Zossener Straße,12629
Ludwigsfelder Straße,12629
Ledebourstraße,12623
Müllerstraße,12623
Klausdorfer Straße,12629
Stephan-Born-Straße,12629
Mittenwalder Straße,12629
Teupitzer Straße,12627
Spree,10245
Gohliser Straße,12627
Eilenburger Straße,12627
Louis-Lewin-Straße,12627
Hultschiner Damm,12623
Stollberger Straße,12627
Reißigerstraße,12621
Immortellenweg,12623
KGA Am Wuhlesee,12621
Kyritzer Straße,12629
Mieltschiner Straße,12621
Bodo-Uhse-Straße,12619
Cecilienstraße,12619
Gülzower Straße,12619
Spree,10317
Spree,12459
Markgrafenstraße,12623
Linderhofstraße,12623
Lemkestraße,12623
Menzelstraße,12623
Hönower Straße,12623
Melanchthonstraße,12623
Waplitzer Straße,12621
Wernerstraße,12621
Stendaler Straße,12627
Waldstraße,12621
Eschenstraße,12621
Hinter dem Kurpark,12587
Spanische Allee,14129
Guntherstraße,10365
Annenstraße,10179
Saatwinkler Damm,13627
Doberaner Straße,13051
Zingster Straße,13051
Suhler Straße,12629
Ribnitzer Straße,13051
Eisenacher Straße,12629
Maxie-Wander-Straße,12619
Grottkauer Straße,12621
Marie-Elisabeth-von-Humboldt-Straße,13057
Tangermünder Straße,12627
Lindwerder (Insel),14193
Spree,13599
Spree,13597
Kurt-Schumacher-Damm,13405
Spree,13629
Spree,13627
Verlängerte Mozartstraße,12555
Mozartstraße,12555
Lindenallee,12587
Bölschestraße,12587
Brunsbütteler Damm,13591
Müggelspree,12589
Müggelspree,12559
Straße A (HOKA III),13629
Storkower Straße,10369
Tegeler See,13507
Klettwitzer Straße,12681
Müggelspreeweg,12589
Neuköllner Schifffahrtskanal,12059
Neuköllner Schifffahrtskanal,12045
Steinhöfeler Weg,12589
An der Wuhle,12621
Eppenbrunner Weg,12559
Lutherstraße,12589
Brunolfweg,12524
Bohnsdorfer Kirchsteig,12526
Geinsheimer Weg,12559
Adele-Schreiber-Krieger-Straße,10117
Neuköllner Schifffahrtskanal,12055
Neuköllner Schifffahrtskanal,12359
Turmfalkenstraße,13505
Charlottenburger Verbindungskanal,10553
Oberhavel,13597
Bahrfeldtstraße,10245
Oberhavel,13599
Oberhavel,13585
Oberhavel,13587
Straße 231,12355
Kastanienallee,13158
August-Bebel-Straße,15569
Oberhavel,13505
Oberhavel,13503
Karower Chaussee,13125
An der Wuhlheide,12459
Maurice-Ravel-Straße,13158
Boleroweg,13158
César-Franck-Straße,13158
Barther Straße,13051
Prendener Straße,13059
Biesenbrower Straße,13057
Uslarer Straße,12621
Wartiner Straße,13057
Neubrandenburger Straße,13059
Dorfstraße,13059
Luckenwalder Straße,12629
Pankgrafenstraße,13187
Wolfshagener Straße,13187
Pestalozzistraße,13187
Rostocker Straße,13059
Woldegker Straße,13059
Gothaer Straße,12629
Oder-Spree-Kanal,12527
Warnemünder Straße,13059
Gosener Kanal,12559
Hagenower Ring,13059
Galenstraße,13597
Senftenberger Straße,12627
Cottbusser Straße,12627
Platz an der Eiche,10318
Olympischer Platz,14053
Kirschweg,12524
Borkumstraße,13189
Unterhavel,13595
Unterhavel,14193
Unterhavel,14055
Unterhavel,14089
Unterhavel,14129
Verlängerte Fährstraße,13503
Beyschlagstraße,13503
Dietzgenstraße,13156
Fürstenwalder Allee,12589
Unterhavel,14109
Niederstraße,13158
Rummelsburger See,10317
Rummelsburger See,10245
Seddinsee,12559
Am Rosensteg,13509
Am Brunnen,13509
Alt-Marzahn,12685
Auersbergstraße,12685
Am Freibad,13469
Seddinsee,12527
Straße 45,13129
Geraer Ring,12689
Fortunaallee,12683
Ruppiner Chaussee,13503
Markstraße,13409
Wittenberger Straße,12689
Märkische Allee,12689
Seenkette,14109
Asgardstraße,13089
Wittestraße,13509
Triftstraße,13437
Rue du Capitaine Jean Maridor,13405
Erholungspark Marzahn,12685
Helene-Weigel-Platz,12681
Rue Doret,13405
Trienter Straße,13187
Dolomitenstraße,13187
Rue Nungesser et Coli,13405
Hauptstraße,13127
Chamissostraße,13127
Finsterwalder Straße,13435
Seidelstraße,13405
Blankenfelder Straße,13127
Saupéweg,13127
Egidystraße,13509
Britzer Verbindungskanal,12057
Schönefelder Straße,12355
Otisstraße,13403
Otisstraße,13507
Tempelhofer Weg,12347
Walther-Huth-Straße,12487
Wolfgang-Harlan-Straße,12487
Melli-Beese-Straße,12487
Hanuschkestraße,12487
Wrightallee,12487
Britzer Verbindungskanal,12437
Berliner Allee,13088
Rue Joseph le Brix,13405
Segelfliegerdamm,12487
Havelkanal,13597
