ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
200712;01011101;01;01;11;01;1;3300;1763;1537;15;22;9;23;10;6;6;25;13;24;12;49;98;249;147;229;272;198;233;262;232;277;140;100;99;151;159;111;74;39;16;0;15;64;86;49;347;1573;517;520;129
200712;01011102;01;01;11;02;1;189;112;77;0;0;0;0;0;0;7;0;0;4;6;4;3;13;4;6;9;9;27;24;13;15;6;3;13;13;0;6;0;0;4;0;0;0;17;4;16;92;24;32;4
200712;01011103;01;01;11;03;1;4723;2487;2236;25;46;28;67;46;37;35;65;69;65;32;92;129;255;154;244;360;339;402;423;404;351;176;114;121;139;195;94;89;70;18;39;25;187;303;92;384;2326;641;549;216
200712;01011104;01;01;11;04;1;3779;1984;1795;53;29;53;90;39;47;47;78;81;63;30;129;175;381;202;273;351;301;343;257;209;166;83;50;38;48;80;41;29;9;0;4;53;211;346;129;556;1936;299;207;42
200712;01011105;01;01;11;05;1;837;491;346;9;4;3;13;4;3;6;15;3;6;4;34;28;36;31;70;61;79;91;81;82;61;21;17;9;13;25;19;3;6;0;0;9;24;37;34;64;495;99;66;9
200712;01011201;01;01;12;01;1;2213;1157;1056;9;20;15;38;9;30;17;13;33;36;9;75;85;108;45;96;140;181;198;228;216;150;97;52;53;56;106;58;31;6;0;3;9;82;138;75;193;1104;299;273;40
200712;01011202;01;01;12;02;1;433;233;200;9;9;0;0;3;6;3;9;6;3;0;10;12;11;3;33;52;37;35;57;38;21;22;7;15;10;6;13;3;0;0;0;9;12;27;10;23;255;50;44;3
200712;01011203;01;01;12;03;1;982;515;467;3;0;3;9;6;3;10;28;16;9;10;24;18;48;28;35;75;94;101;96;65;90;43;36;19;27;40;31;12;3;0;0;3;18;76;24;66;494;169;117;15
200712;01011204;01;01;12;04;1;5593;2823;2770;26;25;36;74;21;27;19;43;37;54;18;75;154;270;164;227;374;427;446;457;420;460;236;204;224;313;321;237;135;48;15;6;26;156;198;75;424;2515;900;1095;204
200712;01011301;01;01;13;01;1;4473;2357;2116;59;33;42;58;26;21;28;34;34;28;13;56;96;239;213;364;636;577;496;353;305;232;116;75;70;84;82;52;30;15;3;3;59;159;158;56;335;2944;423;288;51
