"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
"201212";"01011101";"01";"01";"11";"01";"1";2930,00;1493,00;1437,00;15,00;21,00;15,00;37,00;9,00;7,00;3,00;31,00;13,00;21,00;12,00;19,00;113,00;242,00;130,00;150,00;254,00;173,00;201,00;178,00;205,00;203,00;148,00;99,00;65,00;99,00;202,00;134,00;87,00;27,00;17,00;0,00;15,00;82,00;87,00;19,00;355,00;1291,00;450,00;500,00;131,00
"201212";"01011102";"01";"01";"11";"02";"1";180,00;99,00;81,00;0,00;3,00;0,00;3,00;0,00;0,00;4,00;0,00;0,00;3,00;0,00;3,00;6,00;6,00;3,00;3,00;19,00;12,00;16,00;26,00;21,00;15,00;6,00;6,00;9,00;3,00;6,00;4,00;3,00;0,00;0,00;0,00;0,00;6,00;7,00;3,00;12,00;100,00;27,00;22,00;3,00
"201212";"01011103";"01";"01";"11";"03";"1";4818,00;2619,00;2199,00;40,00;47,00;24,00;65,00;37,00;53,00;26,00;78,00;77,00;84,00;35,00;95,00;151,00;300,00;185,00;276,00;434,00;324,00;315,00;402,00;404,00;356,00;173,00;119,00;106,00;155,00;198,00;114,00;59,00;70,00;13,00;3,00;40,00;173,00;353,00;95,00;451,00;2340,00;648,00;573,00;145,00
"201212";"01011104";"01";"01";"11";"04";"1";3913,00;2086,00;1827,00;49,00;37,00;40,00;77,00;46,00;25,00;49,00;58,00;77,00;84,00;31,00;97,00;183,00;410,00;237,00;310,00;410,00;317,00;242,00;333,00;246,00;163,00;83,00;61,00;49,00;48,00;57,00;50,00;29,00;12,00;3,00;0,00;49,00;200,00;324,00;97,00;593,00;2095,00;307,00;204,00;44,00
"201212";"01011105";"01";"01";"11";"05";"1";996,00;576,00;420,00;3,00;3,00;13,00;9,00;6,00;3,00;0,00;18,00;15,00;10,00;9,00;20,00;16,00;36,00;23,00;70,00;100,00;57,00;99,00;116,00;101,00;80,00;39,00;15,00;19,00;38,00;34,00;25,00;13,00;3,00;3,00;0,00;3,00;31,00;55,00;20,00;52,00;566,00;134,00;116,00;19,00
"201212";"01011201";"01";"01";"12";"01";"1";2078,00;1084,00;994,00;15,00;15,00;9,00;22,00;19,00;18,00;21,00;21,00;38,00;37,00;3,00;56,00;52,00;168,00;47,00;100,00;132,00;158,00;143,00;189,00;182,00;171,00;86,00;42,00;37,00;67,00;96,00;71,00;39,00;24,00;0,00;0,00;15,00;65,00;138,00;56,00;220,00;951,00;299,00;271,00;63,00
"201212";"01011202";"01";"01";"12";"02";"1";472,00;256,00;216,00;4,00;3,00;3,00;0,00;6,00;10,00;0,00;0,00;9,00;3,00;4,00;6,00;6,00;24,00;18,00;15,00;42,00;48,00;36,00;52,00;62,00;34,00;12,00;0,00;15,00;12,00;27,00;9,00;12,00;0,00;0,00;0,00;4,00;12,00;26,00;6,00;30,00;273,00;46,00;63,00;12,00
"201212";"01011203";"01";"01";"12";"03";"1";854,00;446,00;408,00;6,00;12,00;6,00;6,00;0,00;6,00;0,00;9,00;3,00;9,00;9,00;24,00;16,00;37,00;21,00;49,00;83,00;54,00;90,00;82,00;81,00;45,00;30,00;31,00;21,00;36,00;34,00;30,00;18,00;3,00;3,00;0,00;6,00;24,00;36,00;24,00;53,00;460,00;106,00;121,00;24,00
"201212";"01011204";"01";"01";"12";"04";"1";5822,00;2878,00;2944,00;26,00;38,00;29,00;66,00;48,00;33,00;29,00;67,00;52,00;41,00;32,00;77,00;114,00;300,00;189,00;297,00;440,00;394,00;450,00;430,00;447,00;416,00;263,00;154,00;181,00;207,00;449,00;280,00;171,00;77,00;21,00;4,00;26,00;181,00;254,00;77,00;414,00;2647,00;833,00;1117,00;273,00
"201212";"01011301";"01";"01";"13";"01";"1";4902,00;2555,00;2347,00;75,00;59,00;55,00;96,00;37,00;31,00;28,00;42,00;42,00;44,00;12,00;50,00;72,00;222,00;211,00;378,00;683,00;579,00;511,00;441,00;294,00;285,00;137,00;63,00;68,00;111,00;140,00;66,00;33,00;27,00;7,00;3,00;75,00;247,00;199,00;50,00;294,00;3097,00;485,00;385,00;70,00
"201212";"01011302";"01";"01";"13";"02";"1";12078,00;6188,00;5890,00;103,00;151,00;130,00;236,00;131,00;117,00;121,00;230,00;194,00;157,00;83,00;197,00;215,00;631,00;466,00;855,00;1512,00;1409,00;1366,00;1238,00;810,00;514,00;255,00;128,00;107,00;149,00;266,00;155,00;75,00;42,00;28,00;7,00;103,00;648,00;902,00;197,00;846,00;7656,00;897,00;677,00;152,00
"201212";"01011303";"01";"01";"13";"03";"1";8141,00;4201,00;3940,00;77,00;63,00;69,00;110,00;43,00;38,00;42,00;75,00;45,00;61,00;30,00;87,00;146,00;556,00;379,00;564,00;883,00;683,00;679,00;636,00;510,00;458,00;245,00;101,00;93,00;258,00;482,00;368,00;214,00;98,00;45,00;3,00;77,00;285,00;291,00;87,00;702,00;4334,00;804,00;1201,00;360,00
"201212";"01011304";"01";"01";"13";"04";"1";8279,00;3851,00;4428,00;53,00;67,00;64,00;104,00;51,00;50,00;48,00;107,00;90,00;110,00;37,00;137,00;160,00;426,00;278,00;377,00;519,00;403,00;450,00;482,00;493,00;483,00;243,00;151,00;156,00;345,00;815,00;733,00;503,00;253,00;79,00;12,00;53,00;286,00;442,00;137,00;586,00;3002,00;877,00;2049,00;847,00
"201212";"01011305";"01";"01";"13";"05";"1";6363,00;3153,00;3210,00;40,00;47,00;31,00;75,00;35,00;30,00;33,00;53,00;64,00;53,00;34,00;74,00;97,00;365,00;254,00;318,00;539,00;401,00;378,00;429,00;416,00;343,00;205,00;108,00;86,00;200,00;618,00;552,00;339,00;106,00;40,00;0,00;40,00;188,00;267,00;74,00;462,00;2735,00;656,00;1456,00;485,00
"201212";"01011306";"01";"01";"13";"06";"1";7857,00;3997,00;3860,00;84,00;83,00;66,00;110,00;43,00;51,00;51,00;66,00;72,00;87,00;31,00;99,00;168,00;407,00;265,00;519,00;816,00;618,00;607,00;695,00;574,00;499,00;230,00;131,00;128,00;211,00;514,00;370,00;180,00;61,00;15,00;6,00;84,00;302,00;358,00;99,00;575,00;4094,00;860,00;1223,00;262,00
"201212";"01011401";"01";"01";"14";"01";"1";14026,00;7156,00;6870,00;196,00;188,00;176,00;324,00;150,00;128,00;117,00;234,00;195,00;138,00;73,00;172,00;202,00;691,00;605,00;1089,00;2115,00;1862,00;1628,00;1272,00;742,00;562,00;194,00;130,00;74,00;166,00;251,00;156,00;96,00;65,00;26,00;9,00;196,00;838,00;885,00;172,00;893,00;9313,00;886,00;647,00;196,00
"201212";"01011402";"01";"01";"14";"02";"1";12025,00;6078,00;5947,00;190,00;192,00;192,00;316,00;159,00;133,00;87,00;166,00;107,00;115,00;39,00;112,00;125,00;509,00;560,00;1019,00;1962,00;1746,00;1500,00;1015,00;537,00;313,00;173,00;90,00;78,00;125,00;154,00;145,00;72,00;60,00;25,00;9,00;190,00;859,00;647,00;112,00;634,00;8339,00;576,00;502,00;166,00
"201212";"01022101";"01";"02";"21";"01";"1";3142,00;1767,00;1375,00;18,00;36,00;23,00;36,00;18,00;12,00;19,00;40,00;36,00;40,00;26,00;57,00;98,00;327,00;231,00;281,00;348,00;231,00;243,00;245,00;260,00;130,00;65,00;50,00;38,00;52,00;93,00;43,00;39,00;7,00;0,00;0,00;18,00;113,00;173,00;57,00;425,00;1839,00;245,00;226,00;46,00
"201212";"01022102";"01";"02";"21";"02";"1";5849,00;3164,00;2685,00;56,00;79,00;24,00;118,00;57,00;52,00;56,00;85,00;90,00;71,00;52,00;112,00;219,00;581,00;364,00;476,00;617,00;434,00;405,00;458,00;378,00;304,00;167,00;94,00;101,00;84,00;121,00;98,00;52,00;25,00;16,00;3,00;56,00;278,00;406,00;112,00;800,00;3132,00;565,00;404,00;96,00
"201212";"01022103";"01";"02";"21";"03";"1";220,00;120,00;100,00;3,00;0,00;10,00;6,00;3,00;0,00;7,00;15,00;6,00;3,00;3,00;3,00;9,00;12,00;6,00;18,00;16,00;21,00;3,00;33,00;6,00;18,00;9,00;4,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;19,00;34,00;3,00;21,00;103,00;31,00;6,00;0,00
"201212";"01022104";"01";"02";"21";"04";"1";17089,00;8892,00;8197,00;155,00;194,00;175,00;301,00;144,00;121,00;116,00;223,00;195,00;221,00;98,00;372,00;500,00;1441,00;909,00;1248,00;1818,00;1267,00;1198,00;1351,00;1195,00;1069,00;520,00;339,00;271,00;382,00;561,00;369,00;179,00;97,00;48,00;12,00;155,00;814,00;974,00;372,00;1941,00;8986,00;1928,00;1583,00;336,00
"201212";"01022105";"01";"02";"21";"05";"1";4887,00;2577,00;2310,00;50,00;35,00;47,00;91,00;30,00;33,00;55,00;85,00;88,00;98,00;43,00;140,00;147,00;454,00;293,00;404,00;489,00;352,00;303,00;361,00;314,00;262,00;130,00;105,00;66,00;84,00;131,00;113,00;48,00;19,00;13,00;4,00;50,00;203,00;402,00;140,00;601,00;2516,00;497,00;394,00;84,00
"201212";"01022106";"01";"02";"21";"06";"1";10959,00;5350,00;5609,00;95,00;98,00;90,00;171,00;92,00;65,00;94,00;146,00;143,00;154,00;88,00;264,00;276,00;587,00;396,00;593,00;910,00;785,00;799,00;1018,00;962,00;729,00;441,00;261,00;183,00;306,00;536,00;300,00;196,00;108,00;67,00;6,00;95,00;451,00;690,00;264,00;863,00;5463,00;1431,00;1325,00;377,00
"201212";"01022201";"01";"02";"22";"01";"1";10000,00;5286,00;4714,00;105,00;79,00;103,00;160,00;72,00;66,00;75,00;154,00;156,00;140,00;66,00;231,00;294,00;1031,00;644,00;834,00;1142,00;783,00;692,00;828,00;619,00;465,00;239,00;154,00;126,00;158,00;278,00;170,00;71,00;51,00;11,00;3,00;105,00;414,00;657,00;231,00;1325,00;5542,00;858,00;732,00;136,00
"201212";"01022202";"01";"02";"22";"02";"1";1492,00;722,00;770,00;18,00;24,00;19,00;51,00;18,00;25,00;19,00;28,00;34,00;37,00;25,00;59,00;88,00;107,00;59,00;70,00;125,00;109,00;132,00;89,00;90,00;59,00;31,00;24,00;24,00;37,00;56,00;26,00;3,00;6,00;0,00;0,00;18,00;112,00;168,00;59,00;195,00;674,00;114,00;143,00;9,00
"201212";"01022203";"01";"02";"22";"03";"1";6751,00;3424,00;3327,00;83,00;73,00;79,00;171,00;73,00;72,00;67,00;125,00;136,00;147,00;60,00;179,00;258,00;555,00;291,00;409,00;591,00;466,00;488,00;421,00;362,00;343,00;198,00;132,00;137,00;140,00;277,00;202,00;113,00;68,00;25,00;10,00;83,00;396,00;607,00;179,00;813,00;3028,00;673,00;756,00;216,00
"201212";"01022204";"01";"02";"22";"04";"1";5677,00;2829,00;2848,00;47,00;47,00;43,00;106,00;33,00;45,00;41,00;65,00;80,00;71,00;36,00;90,00;159,00;321,00;173,00;345,00;495,00;450,00;469,00;448,00;462,00;351,00;193,00;143,00;115,00;164,00;283,00;212,00;100,00;53,00;31,00;6,00;47,00;229,00;338,00;90,00;480,00;2842,00;687,00;774,00;190,00
"201212";"01022205";"01";"02";"22";"05";"1";3063,00;1538,00;1525,00;33,00;25,00;34,00;64,00;36,00;36,00;37,00;54,00;68,00;63,00;42,00;87,00;110,00;170,00;107,00;132,00;237,00;185,00;190,00;199,00;226,00;199,00;109,00;77,00;63,00;86,00;183,00;95,00;62,00;31,00;13,00;10,00;33,00;159,00;300,00;87,00;280,00;1276,00;385,00;427,00;116,00
"201212";"01022206";"01";"02";"22";"06";"1";3016,00;1590,00;1426,00;40,00;29,00;31,00;48,00;33,00;27,00;24,00;53,00;48,00;41,00;12,00;43,00;76,00;168,00;129,00;153,00;318,00;263,00;259,00;275,00;212,00;191,00;93,00;39,00;34,00;94,00;88,00;113,00;40,00;36,00;6,00;0,00;40,00;141,00;205,00;43,00;244,00;1609,00;323,00;329,00;82,00
"201212";"01022207";"01";"02";"22";"07";"1";5366,00;2744,00;2622,00;34,00;27,00;47,00;60,00;42,00;24,00;27,00;62,00;63,00;46,00;25,00;73,00;151,00;489,00;262,00;271,00;369,00;276,00;352,00;434,00;344,00;342,00;220,00;131,00;112,00;230,00;309,00;256,00;166,00;80,00;25,00;17,00;34,00;176,00;247,00;73,00;640,00;2308,00;693,00;907,00;288,00
"201212";"01033101";"01";"03";"31";"01";"1";24632,00;12862,00;11770,00;312,00;352,00;316,00;623,00;293,00;290,00;210,00;502,00;469,00;494,00;244,00;733,00;971,00;2201,00;1230,00;1613,00;2355,00;1771,00;1768,00;1770,00;1485,00;1132,00;586,00;329,00;256,00;452,00;809,00;572,00;243,00;164,00;72,00;15,00;312,00;1584,00;2209,00;733,00;3172,00;11992,00;2047,00;2089,00;494,00
"201212";"01033102";"01";"03";"31";"02";"1";11030,00;5636,00;5394,00;119,00;131,00;118,00;265,00;125,00;97,00;124,00;184,00;215,00;210,00;97,00;342,00;443,00;887,00;565,00;721,00;1126,00;849,00;851,00;813,00;664,00;436,00;303,00;159,00;148,00;227,00;351,00;242,00;126,00;67,00;22,00;3,00;119,00;639,00;927,00;342,00;1330,00;5589,00;898,00;968,00;218,00
"201212";"01033201";"01";"03";"32";"01";"1";12778,00;6395,00;6383,00;177,00;209,00;169,00;377,00;184,00;190,00;153,00;359,00;340,00;269,00;165,00;432,00;521,00;852,00;482,00;650,00;1086,00;963,00;857,00;871,00;744,00;583,00;329,00;226,00;157,00;265,00;451,00;342,00;236,00;98,00;38,00;3,00;177,00;939,00;1476,00;432,00;1373,00;5653,00;1138,00;1215,00;375,00
"201212";"01033202";"01";"03";"32";"02";"1";9611,00;4702,00;4909,00;98,00;104,00;107,00;233,00;96,00;80,00;106,00;177,00;159,00;183,00;87,00;237,00;270,00;597,00;350,00;501,00;775,00;721,00;637,00;713,00;569,00;527,00;305,00;207,00;181,00;255,00;504,00;356,00;234,00;160,00;52,00;30,00;98,00;540,00;792,00;237,00;867,00;4266,00;1039,00;1296,00;476,00
