ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
201612;01011101;01;01;11;01;1;3114;1613;1501;22;24;18;45;18;13;18;30;9;28;9;31;99;247;108;223;282;244;192;150;194;202;114;82;80;121;162;181;84;63;18;3;22;105;107;31;346;1393;398;544;168
201612;01011102;01;01;11;02;1;192;115;77;0;0;0;3;4;0;0;0;3;0;0;0;6;19;6;6;9;13;11;19;23;34;3;0;5;9;9;3;4;0;3;0;0;7;3;0;25;87;37;26;7
201612;01011103;01;01;11;03;1;5518;3051;2467;42;44;52;94;41;45;49;76;90;88;46;137;149;363;210;314;498;432;346;366;367;443;196;130;129;161;214;149;122;49;54;22;42;231;394;137;512;2533;769;653;247
201612;01011104;01;01;11;04;1;4704;2569;2135;47;41;49;107;41;46;42;90;87;79;44;175;201;452;240;389;492;404;320;296;347;232;98;57;56;74;78;57;41;13;6;3;47;238;388;175;653;2488;387;265;63
201612;01011105;01;01;11;05;1;1135;606;529;10;16;17;21;10;18;16;8;6;13;6;21;14;39;39;46;92;107;71;107;115;87;50;37;12;36;57;39;9;9;7;0;10;64;67;21;53;577;174;144;25
201612;01011201;01;01;12;01;1;2190;1151;1039;9;15;19;24;15;16;13;24;37;37;18;52;66;109;92;119;185;143;131;160;173;180;105;51;49;64;110;78;45;36;15;0;9;73;145;52;175;1003;336;301;96
201612;01011202;01;01;12;02;1;608;338;270;6;9;6;12;6;3;8;12;13;0;0;12;3;19;15;33;61;60;52;48;68;46;21;18;3;19;22;20;13;0;0;0;6;33;36;12;22;337;85;64;13
201612;01011203;01;01;12;03;1;1004;512;492;3;9;15;9;9;3;10;9;3;14;3;19;18;59;19;66;90;84;79;106;98;68;24;24;18;24;48;33;21;16;3;0;3;42;42;19;77;542;116;123;40
201612;01011204;01;01;12;04;1;7463;3772;3691;78;78;51;113;47;39;31;108;86;80;34;111;136;301;275;454;821;623;477;524;550;475;245;168;175;247;398;375;202;130;31;0;78;289;378;111;437;3724;888;1195;363
201612;01011301;01;01;13;01;1;6431;3348;3083;98;74;76;136;56;60;45;86;65;45;30;61;90;286;276;524;938;782;596;509;453;297;165;111;82;122;152;136;56;9;9;6;98;342;331;61;376;4078;573;492;80
